time,p0,p100,uz0
205200,3535.5339059327,1002145.0700428,-1.0708008002806e-05
208800,2500,1001935.038644,-6.4435074770588e-06
212400,1294.0952255126,1001610.5263568,-1.7201303643981e-06
216000,3.0616169978684e-12,1001193.6170094,3.1401670382227e-06
219600,-1294.0952255126,1000712.6939406,7.8061034793596e-06
223200,-2500,1000200.5054703,1.1959648488445e-05
226800,-3535.5339059327,999691.93292544,1.5317695140449e-05
230400,-4330.1270189222,999221.61332669,1.7651352882403e-05
234000,-4829.6291314453,998821.5787421,1.8801545643611e-05
237600,-5000,998519.07318176,1.8689852240521e-05
241200,-4829.6291314453,998334.69580598,1.7323850317316e-05
244800,-4330.1270189222,998280.99698323,1.4796599638538e-05
248400,-3535.5339059327,998361.62287291,1.1280299943789e-05
252000,-2500,998571.0668269,7.014555568775e-06
255600,-1294.0952255126,998895.04455053,2.2900465771322e-06
259200,-3.6739403974421e-12,999311.46745542,-2.5712808136247e-06
262800,1294.0952255126,999791.94787082,-7.2381545241254e-06
266400,2500,1000303.7335351,-1.1392552430218e-05
270000,3535.5339059327,1000811.9395342,-1.4751375201964e-05
273600,4330.1270189222,1001281.9255835,-1.7085739197814e-05
277200,4829.6291314453,1001681.6566445,-1.8236574636362e-05
280800,5000,1001983.8860044,-1.8125466057216e-05
284400,4829.6291314453,1002168.012043,-1.6759996312542e-05
288000,4330.1270189222,1002221.4821538,-1.4233229906044e-05
291600,3535.5339059327,1002140.6481406,-1.0717370889854e-05
295200,2500,1001931.0147982,-6.4520275239678e-06
298800,1294.0952255126,1001606.8647347,-1.7278834430116e-06
302400,4.2862637970157e-12,1001190.2850037,3.1331118859874e-06
306000,-1294.0952255126,1000709.6618796,7.799683426688e-06
309600,-2500,1000197.7463531,1.1953806364147e-05
313200,-3535.5339059327,999689.422182,1.5312378919841e-05
316800,-4330.1270189222,999219.32859851,1.7646515224027e-05
320400,-4829.6291314453,998819.49968346,1.879714346765e-05
324000,-5000,998517.18127843,1.868584634517e-05
327600,-4829.6291314453,998332.97421038,1.732020502969e-05
331200,-4330.1270189222,998279.43036439,1.4793282496996e-05
334800,-3535.5339059327,998360.19727994,1.1277281408866e-05
338400,-2500,998569.76956475,7.0118087601243e-06
342000,-1294.0952255126,998893.86406695,2.2875470341553e-06
345600,-4.8985871965894e-12,999310.39323809,-2.5735553495982e-06
349200,1294.0952255126,999790.97035374,-7.24022430806e-06
352800,2500,1000302.8440134,-1.1394435893739e-05
356400,3535.5339059327,1000811.1300866,-1.4753089117498e-05
360000,4330.1270189222,1001281.1890017,-1.7087298827945e-05
