time,TTC-31,mass_flow_PP,mass_flux_PP,post_func,report_pressure_outlet
505.96505671841,715.00203377772,0.063532401524778,74.365873200945,7452.0834869737,200000
525.96505671841,713.60279502695,0.063532401524778,74.365873200945,7336.9075863377,200000
545.96505671841,712.39469269316,0.063532401524778,74.365873200945,7238.9074551995,200000
565.96505671841,711.65354342741,0.063532401524778,74.365873200945,7181.3195048815,200000
585.96505671841,710.95211112774,0.063532401524778,74.365873200945,7123.7315545636,200000
605.96505671841,710.15742440672,0.063532401524778,74.365873200945,7057.5556948974,200000
625.96505671841,709.12958012263,0.063532401524778,74.365873200945,6971.1736869402,200000
645.96505671841,708.08178881752,0.063532401524778,74.365873200945,6884.7916789828,200000
665.96505671841,707.03287737015,0.063532401524778,74.365873200945,6798.4096710256,200000
685.96505671841,705.98405111741,0.063532401524778,74.365873200945,6712.0276630687,200000
