measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values
0.6,0,0.875,0.75,0,0.20596240393435,0.20596240393435
0.6,0,0.875,0.875,0,0.21224877193355,0.21224877193355
0.6,0,1,0.5,0,0.17785891029258,0.17785891029258
0.6,0,1,0.75,0,0.20786181107396,0.20786181107396
0.6,0,1,1,0,0.21605973504569,0.21605973504569
0.6,0,0.5,1,0,0.1778589102924,0.1778589102924
0.6,0,0.75,1,0,0.20786181106472,0.20786181106472
0.7,0,0.25,0.25,0,0.065277703024026,0.065277703024026
0.7,0,0.25,0.75,0,0.11270069308753,0.11270069308753
0.7,0,0.75,0.25,0,0.11270069309158,0.11270069309158
0.7,0,0.75,0.75,0,0.20432331026411,0.20432331026411
0.7,0,0.625,0.625,0,0.18169001874501,0.18169001874501
0.7,0,0.625,0.75,0,0.19265767213098,0.19265767213098
0.7,0,0.625,0.875,0,0.19870206138881,0.19870206138881
0.7,0,0.75,0.625,0,0.19265767213105,0.19265767213105
0.7,0,0.75,0.875,0,0.21070400331683,0.21070400331683
0.7,0,0.875,0.625,0,0.19870206138955,0.19870206138955
0.7,0,0.875,0.75,0,0.21070400331915,0.21070400331915
0.7,0,0.875,0.875,0,0.21721565764077,0.21721565764077
0.7,0,1,0.5,0,0.18172966048013,0.18172966048013
0.7,0,1,0.75,0,0.21267453499356,0.21267453499356
0.7,0,1,1,0,0.22117243206339,0.22117243206339
0.7,0,0.5,1,0,0.18172966047927,0.18172966047927
0.7,0,0.75,1,0,0.21267453498954,0.21267453498954
0.8,0,0.25,0.25,0,0.065851277390736,0.065851277390736
0.8,0,0.25,0.75,0,0.11398707261669,0.11398707261669
0.8,0,0.75,0.25,0,0.11398707261849,0.11398707261849
0.8,0,0.75,0.75,0,0.20706584259389,0.20706584259389
0.8,0,0.625,0.625,0,0.18399860613017,0.18399860613017
0.8,0,0.625,0.75,0,0.19517571956393,0.19517571956393
0.8,0,0.625,0.875,0,0.20134418662454,0.20134418662454
0.8,0,0.75,0.625,0,0.19517571956406,0.19517571956406
0.8,0,0.75,0.875,0,0.21357873645022,0.21357873645022
0.8,0,0.875,0.625,0,0.201344186625,0.201344186625
0.8,0,0.875,0.75,0,0.21357873645116,0.21357873645116
0.8,0,0.875,0.875,0,0.22022663682272,0.22022663682272
0.8,0,1,0.5,0,0.18407766736382,0.18407766736382
0.8,0,1,0.75,0,0.21559229559823,0.21559229559823
0.8,0,1,1,0,0.22427159987464,0.22427159987464
0.8,0,0.5,1,0,0.18407766736318,0.18407766736318
0.8,0,0.75,1,0,0.21559229559662,0.21559229559662
0.9,0,0.25,0.25,0,0.066199577834715,0.066199577834715
0.9,0,0.25,0.75,0,0.11476768021452,0.11476768021452
0.9,0,0.75,0.25,0,0.11476768021526,0.11476768021526
0.9,0,0.75,0.75,0,0.2087280052912,0.2087280052912
0.9,0,0.625,0.625,0,0.18539827716782,0.18539827716782
0.9,0,0.625,0.75,0,0.19670211411049,0.19670211411049
0.9,0,0.625,0.875,0,0.20294563136116,0.20294563136116
0.9,0,0.75,0.625,0,0.19670211411059,0.19670211411059
0.9,0,0.75,0.875,0,0.21532083530806,0.21532083530806
0.9,0,0.875,0.625,0,0.20294563136143,0.20294563136143
0.9,0,0.875,0.75,0,0.21532083530845,0.21532083530845
0.9,0,0.875,0.875,0,0.22205110217116,0.22205110217116
0.9,0,1,0.5,0,0.18550119572583,0.18550119572583
0.9,0,1,0.75,0,0.21736040914104,0.21736040914104
0.9,0,1,1,0,0.22614937371479,0.22614937371479
0.9,0,0.5,1,0,0.18550119572545,0.18550119572545
0.9,0,0.75,1,0,0.21736040914037,0.21736040914037
1,0,0.25,0.25,0,0.066410925364339,0.066410925364339
1,0,0.25,0.75,0,0.11524108886618,0.11524108886618
1,0,0.75,0.25,0,0.11524108886648,0.11524108886648
1,0,0.75,0.75,0,0.20973516569754,0.20973516569754
1,0,0.625,0.625,0,0.18624661654488,0.18624661654488
1,0,0.625,0.75,0,0.19762713671908,0.19762713671908
1,0,0.625,0.875,0,0.20391605844915,0.20391605844915
1,0,0.75,0.625,0,0.19762713671914,0.19762713671914
1,0,0.75,0.875,0,0.2163763449554,0.2163763449554
1,0,0.875,0.625,0,0.2039160584493,0.2039160584493
1,0,0.875,0.75,0,0.21637634495558,0.21637634495558
1,0,0.875,0.875,0,0.22315642443713,0.22315642443713
1,0,1,0.5,0,0.18636396161558,0.18636396161558
1,0,1,0.75,0,0.21843165208181,0.21843165208181
1,0,1,1,0,0.2272869313637,0.2272869313637
1,0,0.5,1,0,0.18636396161536,0.18636396161536
1,0,0.75,1,0,0.21843165208153,0.21843165208153
