time,controlled,env,uncontrolled,target
5.670000000000000000e+04,2.970523880416499765e+02,2.862288189652300048e+02,2.870295793096599937e+02,2.970000000000000000e+02
5.760000000000000000e+04,2.971217730734700240e+02,2.859903810567699907e+02,2.870012896138400151e+02,2.970000000000000000e+02
5.850000000000000000e+04,2.971481290954799874e+02,2.857380327229000159e+02,2.869601706534800201e+02,2.970000000000000000e+02
5.940000000000000000e+04,2.971286651967399735e+02,2.854720441845399819e+02,2.869061125060699737e+02,2.970000000000000000e+02
6.030000000000000000e+04,2.970720574421999913e+02,2.851927002688699986e+02,2.868390300591599953e+02,2.970000000000000000e+02
6.120000000000000000e+04,2.969960063294900010e+02,2.849003001043699896e+02,2.867588623220199793e+02,2.970000000000000000e+02
6.210000000000000000e+04,2.969226543017800282e+02,2.845951568004400087e+02,2.866655717669499950e+02,2.970000000000000000e+02
6.300000000000000000e+04,2.968730434596899954e+02,2.842775971121799898e+02,2.865591436970199766e+02,2.970000000000000000e+02
6.390000000000000000e+04,2.968619957046699938e+02,2.839479610904700166e+02,2.864395856371600075e+02,2.970000000000000000e+02
6.480000000000000000e+04,2.968946559440299779e+02,2.836066017178000038e+02,2.863069267459400180e+02,2.970000000000000000e+02
6.570000000000000000e+04,2.969654978461899759e+02,2.832538845303399739e+02,2.861612172454100005e+02,2.970000000000000000e+02
6.660000000000000000e+04,2.970599671533699961e+02,2.828901872265000179e+02,2.860025278667999942e+02,2.970000000000000000e+02
6.750000000000000000e+04,2.971582875628100169e+02,2.825158992624499774e+02,2.858309493098299754e+02,2.970000000000000000e+02
6.840000000000000000e+04,2.972404383734800035e+02,2.821314214351299938e+02,2.856465917137199995e+02,2.970000000000000000e+02
6.930000000000000000e+04,2.972910539163099770e+02,2.817371654530199976e+02,2.854495841381499872e+02,2.970000000000000000e+02
7.020000000000000000e+04,2.973030485312900169e+02,2.813335534952900048e+02,2.852400740524399794e+02,2.970000000000000000e+02
7.110000000000000000e+04,2.972791157129100270e+02,2.809210177597599909e+02,2.850182268315700185e+02,2.970000000000000000e+02
7.200000000000000000e+04,2.972307936023499906e+02,2.805000000000000000e+02,2.847842252576800206e+02,2.970000000000000000e+02
7.290000000000000000e+04,2.971753928039099719e+02,2.800709510523900008e+02,2.845382690257000036e+02,2.970000000000000000e+02
7.380000000000000000e+04,2.971315971856899978e+02,2.796343303532900109e+02,2.842805742522299965e+02,2.970000000000000000e+02
7.470000000000000000e+04,2.971148504665699761e+02,2.791906054470700269e+02,2.840113729864900165e+02,2.970000000000000000e+02
7.560000000000000000e+04,2.971336629740699777e+02,2.787402514854799733e+02,2.837309127225900056e+02,2.970000000000000000e+02
7.650000000000000000e+04,2.971877164704699794e+02,2.782837507188199879e+02,2.834394559122300166e+02,2.970000000000000000e+02
7.740000000000000000e+04,2.972606622062199904e+02,2.778215919795500213e+02,2.831372794772599946e+02,2.970000000000000000e+02
7.830000000000000000e+04,2.973243252973200015e+02,2.773542701588199861e+02,2.828246743213799732e+02,2.970000000000000000e+02
7.920000000000000000e+04,2.973499503171499896e+02,2.768822856765399933e+02,2.825019448405499816e+02,2.970000000000000000e+02
8.010000000000000000e+04,2.973176666595300048e+02,2.764061439455200002e+02,2.821694084315799955e+02,2.970000000000000000e+02
8.100000000000000000e+04,2.972217703863299789e+02,2.759263548302399727e+02,2.818273949986399884e+02,2.970000000000000000e+02
8.190000000000000000e+04,2.970717914777899864e+02,2.754434321009200062e+02,2.814762464572299905e+02,2.970000000000000000e+02
8.280000000000000000e+04,2.968897566184800212e+02,2.749578928833000191e+02,2.811163162354899896e+02,2.970000000000000000e+02
8.370000000000000000e+04,2.967045506993100048e+02,2.744702571049400035e+02,2.807479687726399789e+02,2.970000000000000000e+02
8.460000000000000000e+04,2.965448275470399722e+02,2.739810469384499925e+02,2.803715790142899777e+02,2.970000000000000000e+02
8.550000000000000000e+04,2.964322036142900174e+02,2.734907862423299889e+02,2.799875319047500284e+02,2.970000000000000000e+02
8.640000000000000000e+04,2.963763465701799760e+02,2.730000000000000000e+02,2.795962218761400209e+02,2.970000000000000000e+02
