time,cumulative_moles_precipitated_Albite,cumulative_moles_precipitated_Anhydrite,cumulative_moles_precipitated_Barite,cumulative_moles_precipitated_Calcite,cumulative_moles_precipitated_Celestite,cumulative_moles_precipitated_Chalcedony,cumulative_moles_precipitated_Dolomite,cumulative_moles_precipitated_Fluorite,cumulative_moles_precipitated_Goethite,cumulative_moles_precipitated_Illite,cumulative_moles_precipitated_K-feldspar,cumulative_moles_precipitated_Kaolinite,cumulative_moles_precipitated_Pyrrhotite,cumulative_moles_precipitated_Quartz,cumulative_moles_precipitated_Siderite,mass_heated_this_timestep,production_temperature
700000,0,2231.7496668783,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,5.4521830464284e-05,0.00013140766073793,6.3767574691559e-05,0.00066238826154774,0.0034889237031716,19953797.615631,92.320485503728
800000,0,2571.0333857403,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,6.5247905048796e-05,0.00013140766073793,7.5146974648307e-05,0.00073795257757983,0.0051385808905007,19953810.529223,92.370238666538
900000,0,2910.1739849799,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,7.6023096856067e-05,0.00013140766073793,8.5817359106559e-05,0.00077620153413821,0.0070705262426998,19953829.982766,92.418802698305
1000000,0,3249.1114563502,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,8.676398964755e-05,0.00013140766073793,9.5481954973541e-05,0.00077620153413821,0.0094033321840552,19953857.592054,92.466206836252
2000000,0,6635.736002423,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,0.038166579789298,199538949.69431,92.512480034769
3000000,0,9891.5392329957,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,0.32524231208988,199556729.50259,92.885455647065
4000000,0,12936.29571507,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,1.0269412054104,199585412.86376,93.187310804735
5000000,0,15728.84972204,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,2.2158406371806,199619690.65823,93.43290003189
6000000,0,18261.763622264,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,3.8880783785371,199654981.44149,93.634068768962
7000000,0,20549.472644093,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,5.9871847989714,199688313.58976,93.800275119907
7760000,0,22121.068922129,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,7.8431339870396,151785831.63131,93.939086462913
