DP,P,S,SumWij,T,h,id,mdot,mu,rho,w_perim,x,y,z
0,19278.099161274,2.289235074766e-05,-0.00024588570314769,634.88357293344,812186.21971,0.4,0.074986239447396,0.00029732854610388,863.97601353759,0,0.00452,0.06699,0.4
0,18509.284669827,2.289235074766e-05,-0.00023181123598488,635.52264823826,813003.40530226,0.416,0.075218757814556,0.00029695467500964,863.8303472455,0,0.00452,0.06699,0.416
0,17739.59345904,2.289235074766e-05,-0.00021717206999619,636.13589110432,813787.5589551,0.432,0.075436668900434,0.00029659704571931,863.69056053321,0,0.00452,0.06699,0.432
0,16968.961336265,2.289235074766e-05,-0.0002034482746768,636.77473055033,814604.44295471,0.448,0.075640880298349,0.00029622565988652,863.5449303285,0,0.00452,0.06699,0.448
0,16197.612719402,2.289235074766e-05,-0.00019061907942172,637.39797676304,815401.3878869,0.464,0.075832274637141,0.00029586448515367,863.40284607747,0,0.00452,0.06699,0.464
0,15428.37345475,2.289235074766e-05,-0.00017800394886613,638.03522650623,816216.23913351,0.48,0.0760110548522,0.00029549636018892,863.25756050571,0,0.00452,0.06699,0.48
0,14655.423142574,2.289235074766e-05,-0.00016763924583944,638.70929641601,817077.61303074,0.496,0.076179622128533,0.00029510824085884,863.103870598,0,0.00452,0.06699,0.496
0,13882.113035616,2.289235074766e-05,-0.0001569356646758,639.3289756733,817869.37721778,0.512,0.076337529098533,0.00029475259055764,862.96257306219,0,0.00452,0.06699,0.512
0,13108.2209691,2.289235074766e-05,-0.00014676457686572,639.98646137356,818709.446697,0.528,0.076485305415846,0.0002943764427111,862.81264573119,0,0.00452,0.06699,0.528
0,12334.069410753,2.289235074766e-05,-0.00013711861545231,640.61092595142,819507.32508812,0.544,0.076623466982932,0.00029402032551023,862.67023940757,0,0.00452,0.06699,0.544
0,11563.379529885,2.289235074766e-05,-0.00012746136004182,641.26024055004,820336.95435078,0.56,0.076751997188371,0.000293651208442,862.52215701311,0,0.00452,0.06699,0.56
